contents,key word
你就不要打啊 一堆人等著打,AstraZeneca
放心，這說明書我早看過好幾遍了，那你,AstraZeneca
我應該只有高端的命。。。。,AstraZeneca
有看過英文說明書嗎？你有看過其他幾家,AstraZeneca
疫苗的說明書嗎？,AstraZeneca
4%最愛啊 96%打國產根本沒問題,AstraZeneca
因為你只看新聞才不知道這些,AstraZeneca
你怎麼以為你打得到的錯覺,AstraZeneca
其他牌子也都寫差不多的東西啦,AstraZeneca
這麼怕的話其他家疫苗指引要不要,AstraZeneca
所以才要EUA啊!國家保證,出事國家扛
也看一下？,AstraZeneca
55 歲以上效果不明確那幹嘛還從老的開始,AstraZeneca
打？,AstraZeneca
重點是什麼？,AstraZeneca
莫德納的其實也差不多 侵入性醫療不,AstraZeneca
可能0風險,AstraZeneca
資料不完整一定的啊，緊急授權咩,AstraZeneca
說廢話，連殘劑都搶著打，好賣的很，要是,AstraZeneca
開放全民預約別說一天，2小時以內全台疫,AstraZeneca
苗清0，直接秒殺,AstraZeneca
https//i.imgur.com/IDiABAc.jpg,AstraZeneca
https//i.imgur.com/pBCUkhr.jpg,AstraZeneca
好像沒什麼新資訊,AstraZeneca
本來就要自己評估啊，有強制接種嗎？,AstraZeneca
每個說明書都寫得很保守啊，將自己責,AstraZeneca
美國CDC網站，6/16更新(非舊資料)，簡,AstraZeneca
任縮到最小,AstraZeneca
體中文是官方可選的語言之一，非經過翻,AstraZeneca
譯。有沒有覺得這些警語似曾相識？,AstraZeneca
謝謝分享,AstraZeneca
這已是常識，沒什麼呀？,AstraZeneca
不要看到點自己不知道的東西，就像發現,AstraZeneca
新大陸一樣，殊不知其實大家都是這樣,AstraZeneca
要不要看其他藥品的說明書,AstraZeneca
輝瑞跟莫德納都是基因改造,AstraZeneca
不用基因改造 要等10年 你慢慢等,AstraZeneca
這用爆卦就是認為別人都不知道的莫名邏輯,AstraZeneca
還蠻屌白俄,AstraZeneca
好,AstraZeneca
這些不是都已經是常識了嗎……,AstraZeneca
那難道看到市面上的藥，詳列所有副作用，就,AstraZeneca
不吃了嗎,AstraZeneca
mRNA應該不是啦，用印(合成)的，非基改,AstraZeneca
發酵。但重組蛋白就是基因改造了XD,AstraZeneca
我也想知道你要爆啥？,AstraZeneca
不過BNT跟Moderna都對S蛋白做了修飾，真,AstraZeneca
要說也是改了病毒的基因XD,AstraZeneca
那你就不要打 不缺你一個,AstraZeneca
定義上三期疫苗只有大陸不是基改,AstraZeneca
mRNA一定也是基改，我不相信沒對非編碼,AstraZeneca
區做改造,AstraZeneca
含有基因改造生物體(GMO)這件事就要腺病,AstraZeneca
毒載體才有，重組蛋白是從GMO製造出來，,AstraZeneca
mRNA疫苗則是與GMO無關，而是基因序列,AstraZeneca
所以說明書是爆卦?,AstraZeneca
本身有改造過而已,AstraZeneca
呵呵 可憐 你是不是那種攤開仿單就不敢吃,AstraZeneca
藥的人,AstraZeneca
第十一類等高端,AstraZeneca
應該是等三期的高端喔,AstraZeneca
好唷，那你不要打,AstraZeneca
你平常是不是都沒有看說明書才這麼大驚小怪,AstraZeneca
能打就打,AstraZeneca
都說新冠疫苗，其他種類的藥物，你看一下,AstraZeneca
副作用的描述，看了你都不會想去服用,AstraZeneca
,AstraZeneca
別,AstraZeneca
所以這篇要表達啥,AstraZeneca
欠噓 自以為專業,AstraZeneca
噓你亂爆料,AstraZeneca
標準的自以為專業XD,AstraZeneca
不要污名化基因改造,AstraZeneca
看不出來有什麼問題,AstraZeneca
你跟你的家人千萬不要打,AstraZeneca
大驚小怪仿單不都這樣 照這樣開的藥和檢查,AstraZeneca
好喔 國產最安全了 加油,AstraZeneca
你差不多都不用,AstraZeneca
好聰明喔 只有你發現這件事呢,AstraZeneca
你到底想說些什麼……,AstraZeneca
你還是等重症比疫苗安全,AstraZeneca
就都空白的,AstraZeneca
你的理解能力需要評估一下,AstraZeneca
想表達自己過去只看新聞標題過日子嗎,AstraZeneca
為啥這要爆掛O_O?,AstraZeneca
你該不會已經接種了吧？,AstraZeneca
大概是文組的，看完還看不懂，只會影射,AstraZeneca
人造的幾乎都是基因改造,AstraZeneca
原生大豆比基因改造的稀有,AstraZeneca
常識當爆卦，無知到可笑！！藍白粉,AstraZeneca
水準這麼低？,AstraZeneca
仿單每張都大同小異好嗎，你乾脆以後都,AstraZeneca
吃中藥好了,AstraZeneca
柯粉可憐哪,AstraZeneca
卦點在哪 ?,AstraZeneca
所以你要爆什麼卦？,AstraZeneca
基因改造到底是有什麼疑慮 黑人問號,AstraZeneca
…你的新發現 是別人的舊聞,AstraZeneca
第三點是小於18歲好嗎,AstraZeneca
這有什麼特別嗎,AstraZeneca
你大概沒看過其他藥的說明書，看完大概所,AstraZeneca
有藥都不能吃了,AstraZeneca
藥品說明書都長這樣，井底之蛙,AstraZeneca
你沒辦法選 國慘等你,AstraZeneca
出去被撞機率都還比較高,AstraZeneca
其他家疫苗我看你也打不下去了吧？,AstraZeneca
可憐,AstraZeneca
繼續黑,AstraZeneca
?,AstraZeneca
拜託快去打高端，這種有疑慮的留給我,AstraZeneca
真不知道要從哪裡吐槽才好,AstraZeneca
想黑也多用點心吧,AstraZeneca
感謝分享,AstraZeneca
這能用爆卦？,AstraZeneca
看完普拿疼的中文説明書，你也會不敢吃,AstraZeneca
老年族群的數據有點詭異65歲以上比55-65,AstraZeneca
歲好?,AstraZeneca
高端交給你多打一點,AstraZeneca
繼續準備預約莫德納!,AstraZeneca
https//i.imgur.com/ciGAdex.jpg,AstraZeneca
感謝譚德賽,AstraZeneca
覺青還會罵CHO,AstraZeneca
不是感謝CHO嗎?,AstraZeneca
民進黨感謝建商爸爸和炒房房蟲小夥伴的努力,AstraZeneca
吹一年多 最後還是要靠CHO,AstraZeneca
菸粉感謝WHO爸爸。雖然之前罵得很大聲,AstraZeneca
譚爸爸救我,AstraZeneca
疫情爆了才拿到40萬，去年一年在睡？,AstraZeneca
感謝小英買疫苗 謝主榮恩,AstraZeneca
之前沒罵譚的人可以先打吧？,AstraZeneca
結果去年罵的要死的還賞個AZ  舔的要死的屁都沒,AstraZeneca
證明WHO不會因為我們不是會員就不給,AstraZeneca
政府都買不到,AstraZeneca
感謝who......,AstraZeneca
覺青快感謝CHO感謝譚得賽阿，又是CHO COVAX計畫給的,AstraZeneca
這不是美國爺爺的賞賜...,AstraZeneca
還好CHO沒搞台灣不然台灣到現在都沒疫苗,AstraZeneca
覺青他媽的給我跪下來謝譚德賽,AstraZeneca
感謝CHO?,AstraZeneca
覺青趕快感謝CHO不記前嫌,AstraZeneca
屎黨吹半年，結果唯一拿到手的只有WHO大鍋菜疫苗,AstraZeneca
這是來自彈德屎的賞賜....,AstraZeneca
覺青拒絕中國代理的BNT  要不要拒絕CHO發的AZ啊,AstraZeneca
這是COVAX配的，覺青還不趕快感謝譚德塞,AstraZeneca
https//i.imgur.com/8B1ee1f.jpg,AstraZeneca
之前疫情沒爆根本沒人打 爆了才搶打,AstraZeneca
cho不記前嫌  幫忙落後國家一把,AstraZeneca
DPP賤民不會知道真相的 標題不講以為是政府談來的,AstraZeneca
陳時中說3點44分會到達,AstraZeneca
說要等莫德納的弱智繼續等啊哈哈,AstraZeneca
結果CHO來幫忙 沒記仇 不錯喔,AstraZeneca
之前天天罵      現記者會連譚得賽都不敢提,AstraZeneca
還是等莫,AstraZeneca
這有血塞,AstraZeneca
彈得塞好人   嘻嘻嘻,AstraZeneca
好悲哀 結果要靠譚爸爸,AstraZeneca
那隻貓真的很靠北,AstraZeneca
我4% az 會有血拴副作用 我不打. 請問還可以自費嗎？,AstraZeneca
怎麼不說之前一堆駡AZ現在又搶著打的人,AstraZeneca
https//i.imgur.com/kIzVAmU.jpg,AstraZeneca
彈得塞,AstraZeneca
先讓雙北的打吧 目前重災區,AstraZeneca
一堆醫護根本打不到，請不要再給其他非一線的打,AstraZeneca
CHO,AstraZeneca
