id,contents,key word
SRadiant, 放心，這說明書我早看過好幾遍了，那你,AstraZeneca
greensaru, 我應該只有高端的命。。。。,AstraZeneca
SRadiant, 有看過英文說明書嗎？你有看過其他幾家疫苗的說明書嗎？,AstraZeneca
sam4105112, 4%最愛啊 96%打國產根本沒問題,AstraZeneca
warwolf, 因為你只看新聞才不知道這些,AstraZeneca
KKB, 你怎麼以為你打得到的錯覺,AstraZeneca
myology, 其他牌子也都寫差不多的東西啦,AstraZeneca
MayorKoWenJe, 這麼怕的話其他家疫苗指引要不要也看一下？,AstraZeneca
hkahka, 55 歲以上效果不明確那幹嘛還從老的開始打？,AstraZeneca
Rune, 重點是什麼？,AstraZeneca
glenmarlboro, 莫德納的其實也差不多 侵入性醫療不可能0風險,AstraZeneca
billybbb, 資料不完整一定的啊，緊急授權咩,AstraZeneca
boy1031, 說廢話，連殘劑都搶著打，好賣的很，要是開放全民預約別說一天，2小時以內全台疫苗清0，直接秒殺,AstraZeneca
SRadiant, https//i.imgur.com/IDiABAc.jpghttps//i.imgur.com/pBCUkhr.jpg,AstraZeneca
theskyofblue, 好像沒什麼新資訊,AstraZeneca
billybbb, 本來就要自己評估啊，有強制接種嗎？,AstraZeneca
ghchen1978, 每個說明書都寫得很保守啊，將自己責,AstraZeneca
SRadiant, 美國CDC網站，6/16更新(非舊資料)，簡,AstraZeneca
ghchen1978, 任縮到最小,AstraZeneca
SRadiant, 體中文是官方可選的語言之一，非經過翻譯。有沒有覺得這些警語似曾相識？,AstraZeneca
Lovemayling, 謝謝分享,AstraZeneca
vcx530, 這已是常識，沒什麼呀？,AstraZeneca
SRadiant, 不要看到點自己不知道的東西，就像發現新大陸一樣，殊不知其實大家都是這樣,AstraZeneca
BlowjobFace, 要不要看其他藥品的說明書,AstraZeneca
rick102233, 輝瑞跟莫德納都是基因改造不用基因改造 要等10年 你慢慢等,AstraZeneca
eemail, 這用爆卦就是認為別人都不知道的莫名邏輯,AstraZeneca
badbadook, 還蠻屌白俄,AstraZeneca
jokerming847, 好,AstraZeneca
jonsauwi, 這些不是都已經是常識了嗎……,AstraZeneca
iamfc, 那難道看到市面上的藥，詳列所有副作用，就不吃了嗎,AstraZeneca
SRadiant, mRNA應該不是啦，用印(合成)的，非基改發酵。但重組蛋白就是基因改造了XD,AstraZeneca
AUwalker, 我也想知道你要爆啥？,AstraZeneca
SRadiant, 不過BNT跟Moderna都對S蛋白做了修飾，真要說也是改了病毒的基因XD,AstraZeneca
Chanlin01, 那你就不要打 不缺你一個,AstraZeneca
rick102233, 定義上三期疫苗只有大陸不是基改,AstraZeneca
jonsauwi, mRNA一定也是基改，我不相信沒對非編碼區做改造,AstraZeneca
SRadiant, 含有基因改造生物體(GMO)這件事就要腺病毒載體才有，重組蛋白是從GMO製造出來，mRNA疫苗則是與GMO無關，而是基因序列,AstraZeneca
coolan, 所以說明書是爆卦?,AstraZeneca
SRadiant, 本身有改造過而已,AstraZeneca
yaes111, 呵呵 可憐 你是不是那種攤開仿單就不敢吃藥的人,AstraZeneca
christopherl, 第十一類等高端,AstraZeneca
rick102233, 應該是等三期的高端喔,AstraZeneca
farnorth, 好唷，那你不要打,AstraZeneca
cchpo, 你平常是不是都沒有看說明書才這麼大驚小怪,AstraZeneca
aids007, 能打就打,AstraZeneca
xform, 都說新冠疫苗，其他種類的藥物，你看一下副作用的描述，看了你都不會想去服用,AstraZeneca
Dannyx,nan,AstraZeneca
xform, 別,AstraZeneca
LianD, 所以這篇要表達啥,AstraZeneca
AIyA878958, 欠噓 自以為專業,AstraZeneca
blacktea555, 噓你亂爆料,AstraZeneca
lianpig5566, 標準的自以為專業XD,AstraZeneca
chenchafan, 不要污名化基因改造,AstraZeneca
Mozai, 看不出來有什麼問題,AstraZeneca
Henrique, 你跟你的家人千萬不要打,AstraZeneca
kncc31, 大驚小怪仿單不都這樣 照這樣開的藥和檢查,AstraZeneca
combo9527, 好喔 國產最安全了 加油,AstraZeneca
kncc31, 你差不多都不用,AstraZeneca
l1256, 好聰明喔 只有你發現這件事呢,AstraZeneca
ccufcc, 你到底想說些什麼……,AstraZeneca
kk520you, 你還是等重症比疫苗安全,AstraZeneca
alex00089, 就都空白的,AstraZeneca
ESL63, 你的理解能力需要評估一下,AstraZeneca
BeckettLai, 想表達自己過去只看新聞標題過日子嗎,AstraZeneca
s9234032, 為啥這要爆掛O_O?,AstraZeneca
lyt40, 你該不會已經接種了吧？,AstraZeneca
yujchen, 大概是文組的，看完還看不懂，只會影射,AstraZeneca
kingtama, 人造的幾乎都是基因改造原生大豆比基因改造的稀有,AstraZeneca
cherokee2006, 常識當爆卦，無知到可笑！！藍白粉水準這麼低？,AstraZeneca
kccoaoa, 仿單每張都大同小異好嗎，你乾脆以後都吃中藥好了,AstraZeneca
MoWilliams, 柯粉可憐哪,AstraZeneca
horseorange, 卦點在哪 ?,AstraZeneca
keikei5566, 所以你要爆什麼卦？,AstraZeneca
hugo0015227, 基因改造到底是有什麼疑慮 黑人問號,AstraZeneca
tenching, …你的新發現 是別人的舊聞,AstraZeneca
jericho0523, 第三點是小於18歲好嗎,AstraZeneca
Nexpring, 這有什麼特別嗎,AstraZeneca
jeff52, 你大概沒看過其他藥的說明書，看完大概所有藥都不能吃了,AstraZeneca
Ithilloth, 藥品說明書都長這樣，井底之蛙,AstraZeneca
andre9, 你沒辦法選 國慘等你,AstraZeneca
alihue, 出去被撞機率都還比較高,AstraZeneca
ccucwc, 其他家疫苗我看你也打不下去了吧？,AstraZeneca
mack860120, 可憐,AstraZeneca
js255076, 繼續黑,AstraZeneca
bala73, ?,AstraZeneca
questioner, 拜託快去打高端，這種有疑慮的留給我,AstraZeneca
soarling, 真不知道要從哪裡吐槽才好,AstraZeneca
drlin84265, 想黑也多用點心吧,AstraZeneca
TzuYuTwice, 感謝分享,AstraZeneca
p8122632, 這能用爆卦？,AstraZeneca
dsc450, 看完普拿疼的中文説明書，你也會不敢吃,AstraZeneca
lwrwang, 老年族群的數據有點詭異65歲以上比55-65歲好?,AstraZeneca
liuedd, 高端交給你多打一點,AstraZeneca
pippen2002, 繼續準備預約莫德納!,AstraZeneca
new122851, https//i.imgur.com/ciGAdex.jpg,AstraZeneca
ppptttqaz, 感謝譚德賽,AstraZeneca
leo0873, 覺青還會罵CHO,AstraZeneca
xbearboy, 不是感謝CHO嗎?,AstraZeneca
AIronKuma, 民進黨感謝建商爸爸和炒房房蟲小夥伴的努力,AstraZeneca
nerevian, 吹一年多 最後還是要靠CHO,AstraZeneca
radi035, 菸粉感謝WHO爸爸。雖然之前罵得很大聲,AstraZeneca
playboy007gy, 譚爸爸救我,AstraZeneca
fedona, 疫情爆了才拿到40萬，去年一年在睡？,AstraZeneca
