href,id,contents,key,date,contents_order
/bbs/Gossiping/M.1633053347.A.5BD.html,preisner, 科興國藥是有進哦,聯亞,  60.248.161.28 10/01 09:56 ,1
/bbs/Gossiping/M.1633053347.A.5BD.html,waynedd, 學去關島或帛琉一樣，飛去有科星國藥的國,聯亞, 140.119.46.226 10/01 09:58 ,2
/bbs/Gossiping/M.1633053347.A.5BD.html,andyw7612162, 疫苗是只剩科興 國藥？,聯亞,     42.72.92.0 10/01 09:58 ,3
/bbs/Gossiping/M.1633053347.A.5BD.html,waynedd, 家打不就好了，柱柱姊有示範過,聯亞, 140.119.46.226 10/01 09:58 ,4
/bbs/Gossiping/M.1633053347.A.5BD.html,SRadiant, 聯亞廢到笑,聯亞,  111.82.236.60 10/01 09:59 ,5
/bbs/Gossiping/M.1633053347.A.5BD.html,loewe214, 想打實驗品就去,聯亞,  61.220.191.67 10/01 10:00 ,6
/bbs/Gossiping/M.1633053347.A.5BD.html,hoaliy, 科興、國藥你也打不到啦...,聯亞, 101.136.137.25 10/01 10:00 ,7
/bbs/Gossiping/M.1633053347.A.5BD.html,zeumax, 說真的啦！蕭敬騰這種身家的，在沒有選擇下打國藥，好歹人家國藥是已經通過三期，也比都沒有完整資料的強,聯亞,  27.53.177.204 10/01 10:01 ,8
/bbs/Gossiping/M.1633053347.A.5BD.html,SRadiant, 沒有選擇下？也是，只有國產可以打,聯亞,  111.82.236.60 10/01 10:04 ,9
/bbs/Gossiping/M.1633053347.A.5BD.html,ben745018, 聯亞eua也是沒過三期 我是不懂跟高端有什麼區別,聯亞, 180.217.27.240 10/01 10:30 ,10
/bbs/Gossiping/M.1633053347.A.5BD.html,FreedomTrail, 我參加臨床二期，但我反對民眾施打沒保護力資料就EUA的疫苗不是所有民眾都跟我一樣爛命一條沒在怕聯亞、高端都一樣,聯亞,   39.13.34.254 10/01 10:39 ,11
/bbs/Gossiping/M.1633053347.A.5BD.html,oldchang1205, 國藥科興都過三期 你高端？,聯亞,    42.73.30.18 10/01 11:40 ,12
/bbs/Gossiping/M.1633048352.A.7F2.html,WaWa3, 水很深,聯亞,101.138.205.132 10/01 08:33 ,1
/bbs/Gossiping/M.1633048352.A.7F2.html,databbs, 欸  當初頗看好說,聯亞, 49.217.121.183 10/01 08:33 ,2
/bbs/Gossiping/M.1633048352.A.7F2.html,ChungLi5566, 陪公子練劍的東西,聯亞,223.137.229.239 10/01 08:33 ,3
/bbs/Gossiping/M.1633048352.A.7F2.html,scott0104, 窩不知道，乖乖做三期吧,聯亞, 111.254.135.72 10/01 08:33 ,4
