id,contents,key word
rb731024, 連3期試驗營養金都沒有了 哈哈,Moderna
pierrotmonam, 可以不打！這個社會不缺你一個。。,Moderna
tim2235, 國家幫你給高端8百讓你打要知足好嘛,Moderna
isu0911, 800台幣拉..高端疫苗價格,Moderna
seabeach, 不要太不滿,Moderna
ObeseBoy, 這種言論 duck不必,Moderna
Gauss, 你不愛台灣,Moderna
TMDptt, 那是現在疫情不嚴重，回到每天200+以上，還不搶打，之前連肺炎雙球菌疫苗都在打,Moderna
Rosmarin, 鏈球菌啦樓上,Moderna
tudou5566, 可以參加實驗拿到錢的話會,Moderna
ghchen1978, 之後媒體會報導只打一劑莫德納完全沒保護力的，放心,Moderna
weijinsusu, 那些說想打高端但很可惜已打莫德納的不知道要用什麼藉口溜,Moderna
devidevi, 你不打到時候疫苗就會跳過你,Moderna
chunpiao, 寧可不打，就是不打高端！,Moderna
blue010679, 反正你不吞就開始炒作自私自利罔顧台灣全體民眾的經濟跟健康,Moderna
meatbear, 你覺得人民想不想有很重要嗎,Moderna
pingwawa, 1700都不想混高端了,Moderna
michael54, 連AZ都不要會要高端,Moderna
Edco, 欸 我相信有 反正現在政府就是能多打一劑高,Moderna
SRadiant, 有些人，不是說很想打高端，無奈已經先,Moderna
Edco, 端是一劑 不然打不到百萬劑真的很沒面子,Moderna
SRadiant, 打其他疫苗了，這時候機會就來了啊不要妨礙別人實現夢想好嗎？,Moderna
gzliu, https//i.imgur.com/EOCZnLL.jpg,Moderna
rq654, 一定有啊 很多是當初剛好莫德納來了才打到不一定都是非莫不打的族群 裡面總有幾個是願意打高端的,Moderna
emptie, 往好處想 一半機率打到莫,Moderna
observer0117, 參加試驗有一半機率打到莫德納應該會有人想賭賭看吧,Moderna
imcrv, 打高端送一張高端 我會考慮打高端,Moderna
qqq87112, 老人很好騙,Moderna
stja,,Moderna
sulaeric, 第一劑就要過期啦。所以當高端是重打第一劑的邏輯,Moderna
deerdriver, 騙一個是一個的心態,Moderna
ejru65m4, 當初混打議題出來不是有請臺大研究 進度如何？,Moderna
pippen2002, https//i.imgur.com/3jZPmzw.jpg 好,Moderna
C13H16ClNO, 我們有很穩定的高端,Moderna
chinagay, 一直說疫苗夠了 買一點點 原廠幹嘛分給,Moderna
radi035, 我敢說！國際上就是沒有現貨,Moderna
Lyon9, 所以只看第一劑就是唬弄而已 不看第二劑還以為澳洲和台灣是同個級別 但看第二劑就知道差很多 所以台灣在國際上防疫評比才是後段 基本上是靠人民自發,Moderna
iota0069, 靠別人送的衝高第一劑，第二劑自購到貨量慘到現出原形,Moderna
dontmind, 反觀...,Moderna
zzzzaaaa, 就疫苗採購能力差啊或是骨子裏根本就想靠高端 你看看到貨的疫苗有多少是政府買的就知道了啊,Moderna
vespar, 看看五月前政府吹有三千萬劑就知道了其中一千多萬竟然是高端聯亞勒,Moderna
panda816, 台灣還有部分是靠外國施捨和計入高端這種實驗品呢 實際上只計算靠自己買的合格疫苗數字會更難看,Moderna
a0000959, 台灣高端穩定供貨 人民挑疫苗不愛打,Moderna
baobaoyui, 笑話啊，怕買太多,Moderna
ClutchShot, 疫苗夠啊 你各位自己不打高端的,Moderna
mo42, 綠班：澳洲又沒有中共擋疫苗！！,Moderna
lidocaine, 台灣疫苗一直夠 你看高端,Moderna
hugo0015227, 沒辦法 人家看你疫情穩定 疫苗又不自己買 再送國內也是會有輿論的,Moderna
guppys2005, 爛政府,Moderna
KaiManSo, 反觀,Moderna
jackycheny, 反觀,Moderna
a27588679, 3000萬劑太多了,Moderna
headcase, https//i.imgur.com/KoMlDbr.jpg,Moderna
laihom0808, 他國事務,Moderna
AustinRivers, 反觀,Moderna
aggressorX, 現在國際上沒有現貨,Moderna
nbalook, 隨隨便便就是一百萬劑,Moderna
JackaLMeI, 我敢說世界上一定買不…沒事,Moderna
r523302, 你是生長在澳洲嗎？管很寬,Moderna
whitenoise, 有時間拍雜誌，撥不出時間催疫苗,Moderna
Osmium, 尊絕不凡莫德納疫苗打不到第二劑,Moderna
yurikim, 買那麼少被跳過很正常,Moderna
RainCityBoy, 就是台灣的沒貨。,Moderna
KaiManSo, 台美友好，沒事的，我們是訂24000小時,Moderna
scjh123, 台灣買那種數量還敢跟人家催貨阿,Moderna
KaiManSo, 到貨，一定準時到貨,Moderna
scott032, 可惡的澳洲買走了 害台灣買不到,Moderna
CCAP, 有時間告人 沒空買疫苗,Moderna
scott032, 澳洲是不是在惡搞台灣,Moderna
wallaceboy, 時鐘：我敢說現在沒有現貨,Moderna
annie06045, 反觀 世界怎麼跟得上台灣,Moderna
wallaceboy, 買疫苗不是在買菜,Moderna
annie06045, 某鐘 我敢說現在全世界就是沒貨,Moderna
s762ok, 反觀買那麼少的台灣……可憐,Moderna
gundam01, 大戶喊著要拿貨 小戶就被排去後面了,Moderna
s762ok, 到底是沒有現貨還是要整個狀況外呢？,Moderna
holybless, 這次要叫誰去催貨,Moderna
linhsiuwei, 反觀,Moderna
a7619282, 反觀817選的,Moderna
stlinman, 為什麼韓國跟郭董催貨都用，政府在幹嘛?,Moderna
newstarting, 反觀台灣買不到 世界怎能跟台灣比,Moderna
KDGC, 需更多國外疫苗資訊 防政府以資訊不對等唬人,Moderna
eknbz, 反,Moderna
stitchris, 好啦 槍斃陳時中 有兩億劑疫苗了,Moderna
med5566, 你當買疫苗是在買菜？,Moderna
john7643, 台灣一直都很足夠阿！怎麼了！,Moderna
KaiManSo, 蔡英文說已訂了次世代莫德納，問題這世代都沒來一堆疫苗孤兒，明年次世代會拖多久？,Moderna
takeda3234, 月底前能到貨千萬劑...年底= =,Moderna
raqg, 政府：我跟你們一樣也打不到第二劑啦 乖,Moderna
lynchen, 高端不用等，心態不夠健康,Moderna
samkiller200, 反觀,Moderna
Padfoneman, 跩啥 我們高端到貨就報到你阿罵都知道,Moderna
evilgenius, 反觀,Moderna
john7643, 控制的很好，疫苗也足！不要太不滿,Moderna
bybe, 反觀,Moderna
spursforever, 反觀,Moderna
pipipa, 反觀,Moderna
leon1757tw, 我敢說現在全世界就是沒現貨,Moderna
JackTheRippe, 反觀,Moderna
asdqw, 反觀 乞丐力就是防疫力,Moderna
CruiseTom, 我們的呢？,Moderna
freaky2586, 澳洲人口2500萬買8500萬劑疫苗，反觀,Moderna
LoveMakeLove, 台灣買不到,Moderna
freaky2586, 有位指揮官嫌3000萬劑疫苗太多呢,Moderna
LoveMakeLove, 窮人沒有挑食的權利，就打AZ,Moderna
Osmium, 不是沒貨 是沒台灣的貨^_^,Moderna
HCLP, 反觀,Moderna
KaiManSo, 這種小事處理成這樣，我真不敢想像要,Moderna
es612, 台灣某神疫苗足夠了,Moderna
KaiManSo, 是打仗民進黨會怎麼處理XD,Moderna
chinagay, 一直說疫苗夠了 原廠幹嘛分給你,Moderna
v21638245, 你台灣敢買快過期的疫苗還不被罵死,Moderna
EdgeFlame, 反觀,Moderna
strong66, 民進黨政府買疫苗的佈屬真的很遲鈍,Moderna
LAWfOREVER, 不可能的任務,Moderna
now99, 反觀 買太多,Moderna
eeccms, https//i.imgur.com/5bb52E9.jpg,Moderna
god890529, 反觀,Moderna
ghchen1978, x灣很多蟲洞，找找看莫德納是不是掉,Moderna
Yuwuen, 我保證市面上沒有現貨辣,Moderna
ghchen1978, 裡面了,Moderna
losel, https//i.imgur.com/BZEDlzE.png,Moderna
alcard22, 我敢說…,Moderna
saiulbb, 反觀本國無能的中央政府CDC,Moderna
RanceTsai, 沒差 反正選舉時大家還不是要含淚投,Moderna
beariscut, https//i.imgur.com/ne4niCz.jpg,Moderna
rustic5566, 塔綠班買太多了啦,Moderna
eterbless, 澳洲人口才這麼點 不怕打不完?,Moderna
soarling, 我們到底什麼時候要去跟人家喬moderna回來打,Moderna
gogokom, 反觀,Moderna
milleniue, 政府就承認疫苗採購遇困難算了現在還拉不下臉死賴疫苗夠笑死越撐越難看,Moderna
cj6gji, 所以這一百萬是現貨嗎?還是等到現在才來,Moderna
a0000959, 反觀台灣 塔綠班採購 到貨量跟滴尿一樣,Moderna
adon0313, 只有台灣買不到,Moderna
k798976869, 真正的國家是長這個樣子不過台灣不是國家 所以合理,Moderna
adon0313, 美國大禮包快點弄好  上一包一千億而已,Moderna
soarling, 人家都在換貨調貨 我們在？？？廢物呀,Moderna
adon0313, 來一包兩千億的試試水溫,Moderna
miliq, 粗暴的反觀Duck生氣氣！,Moderna
auftiwy, 反觀台灣政府就是廢,Moderna
dragonjj, sticheris 你的言論太可怕了 我幫你轉,Moderna
panda816, 塔綠班：沒有現貨啊...當我沒說好嗎,Moderna
amigo30143, 反觀,Moderna
pipi21209, 有人嫌3000萬劑太多了,Moderna
dragonjj, 衛福部跟警察局 動不動就要槍斃人 可怕!,Moderna
dontmind, 時中：國際缺貨，韓國、澳洲表示：...,Moderna
Sanger, 垃圾鐘禍害台灣 居心叵測 疫苗本來可以不缺,Moderna
starport, 破鐘我眼睛看不到cc,Moderna
a0000959, 反觀台灣 各種混打,Moderna
lulocke, 順帶一提的是澳洲人口數只比台灣多一兩百萬,Moderna
appie1161695, 反觀我們只能靠郭董台積慈濟,Moderna
catvsdog, 反觀塔綠班 真是個廢物政府https//i.imgur.com/8yM1JFo.jpg,Moderna
alan0204, 笑死 人家比較晚訂的都陸續到了,Moderna
BREAKFAST204, 反觀說沒有現貨的詐騙仔,Moderna
jansan, 台灣的呢？,Moderna
lc85301, 反觀,Moderna
notneme159, 反觀,Moderna
abccat0520, 羨慕,Moderna
ChungLi5566, 紐西蘭也是12歲以上都能預約打輝瑞,Moderna
adon0313, 大禮包有多貴來多貴  有多大包來多大包,Moderna
flyboring, 果然年底快過期的疫苗很好買,Moderna
adon0313, 台灣有的是錢  負債拉滿  有錢大家賺,Moderna
kanokazurin, 粗暴言語duck boobie,Moderna
l6333133, 反觀鬼島？,Moderna
lwei781, 台灣沒去搶這類的,Moderna
marco1208, 反觀,Moderna
myshadow, 幹,Moderna
vespar, 反觀,Moderna
lllin852, 反觀QQ,Moderna
pttxo, 購買快過期的劑量... 台灣就愛新鮮直送,Moderna
yusanhu, 澳洲是最近搶購的喔，台灣去年買的還沒來嗎,Moderna
feliz5566, 幹伶娘 民進黨下台吧,Moderna
pe221, 9月1100萬..台灣有這量 問題早沒了,Moderna
yusanhu, 就明擺著要逼你們打高端，你看疫情稍微爆，高端人數就變多,Moderna
DirtyVegas, 反觀鬼島 幹你老師,Moderna
direct, 欸，28天早過了，等不到第二劑,Moderna
skyringcha, 反觀鬼島養蟑螂就夠了買什麼疫苗！,Moderna
julia3361, 反觀,Moderna
asidy, 澳洲也很厲害用先借後還的方式拿到不少,Moderna
astrophy, 買菜啦買菜啦,Moderna
ptychodera, 反觀台灣 別人捐什麼就打什麼毫無規,Moderna
shi21, 反觀,Moderna
leo7466411, 一百萬莫耶 可以分點來台嗎,Moderna
applied, 澳洲動物比人多都這樣重視生命了，台灣呢？,Moderna
acxsport, 台灣真的垃圾,Moderna
like60955, 塔綠班罵人意識形態wwww,Moderna
pariswoman, 我敢說現在一定沒有疫苗現貨啦,Moderna
happyjames1, 反觀,Moderna
rLks02, 時中：「你以為是買菜嗎」,Moderna
Hsinxyzzyx, 樓下塔綠班蟑螂出征澳洲,Moderna
a123444556, 反觀塔綠班繼續說買夠了 買了也沒現貨,Moderna
hanabidsca, 兩年了澳洲來第一批莫德納,Moderna
linlin24, 反觀,Moderna
andylee84126, 不是每天在催貨催去哪了,Moderna
erichang, 反觀台灣,Moderna
wate5566, 反觀藥廠業務還在說沒現貨好買,Moderna
andylee84126, 還是澳洲打壓台灣?,Moderna
qazxc1156892, 太晚我們不要,Moderna
Qcloud, 反觀台灣,Moderna
boogieman, 台灣有比較差嗎?https//bit.ly/2Xa7pUThttps//bit.ly/3txFr1r,Moderna
milker, 反觀,Moderna
kamen766, 反觀,Moderna
ma4wanderer, 國外政府官員訂完都會去催貨協商台灣官員只會說沒有現貨沒貨也會跟各國外交協商 未來疫苗換現貨  最會外交談判的台灣政府只會行乞  笑死,Moderna
jboy, 政府講的話可信度愈來愈低,Moderna
jiayuan, 就是要給大家打高端，還不是一堆四趴在,Moderna
tony811207, 反觀垃圾CDC，莫德納還是分年買的,Moderna
awaken, 反觀什麼啦？我們也有打不完的高端,Moderna
CindyLara, 阿共能擋住莫德納疫苗進口嗎?,Moderna
