id,contents,key word,date
koromo1991, 美國就不打高端啊 沒先見之明,科興,  111.71.101.84 09/27 11:40 
Submicromete, 因為高端會被波及,科興, 223.138.76.176 09/27 11:40 
jarrodqq896, 美國就是沒打高端才會疫情爆發 看看高端 被突破率是完美的零,科興,    39.10.1.175 09/27 11:40 
ajemtw, 推,科興,    96.44.161.8 09/27 11:48 
Mazeway, 新冠疫苗就廢啊，不分廠牌,科興, 101.12.100.119 09/27 11:57 
alozo, 同意樓上，急就章產生出來的疫苗效果本來就堪慮,科興, 27.246.129.124 09/27 12:24 
amury, 自從以色列跟新加坡爆炸之後，我改變看法現在的疫苗根本就都是過渡期產品~除非台灣疫情又爆發，不然我不叫我孩子打~,科興,111.235.209.173 09/27 12:31 
Stunts, 美國沒有封鎖邊境的關係吧朋友之前入境美國第一天就趴趴走美國敢隔離，馬上說你違反人權,科興,114.136.237.123 09/27 13:53 
cs09312, 我們高端也能去印尼阿 嘻嘻,科興,  27.52.225.225 09/26 11:54 
snow3804, 世界怎麼跟得上台灣,科興,  1.164.181.127 09/26 11:54 
lee0820, 高端呢,科興,   42.77.161.93 09/26 11:54 
matico, 又如何？世界不是只有美國！！！,科興,   140.113.3.12 09/26 11:54 
Ceferino, 美國中共同路人認證,科興,123.192.235.113 09/26 11:54 
Linlosehow, 美國是中共同路人？,科興,  61.230.57.184 09/26 11:55 
DevilHotel, 我們高端能去印尼！囂張什麼 ),科興,223.139.117.188 09/26 11:55 
CMPunk, 明明人家是who認證的都可以 三立標題硬要,科興,    39.9.47.181 09/26 11:55 
firemothra, 世界又不是只有美國,科興,    114.40.58.2 09/26 11:55 
CMPunk, 只講中國疫苗,科興,    39.9.47.181 09/26 11:55 
gy206578, 世界又不只美國 只是統治者把美國當主人,科興,  1.200.161.247 09/26 11:55 
cream115, 才九月就在帶風向,科興,   42.72.180.27 09/26 11:55 
Hebemp831, 我們的高端勒,科興,  111.82.65.171 09/26 11:55 
adk147852, 世界不是只有美國,科興,  1.172.113.132 09/26 11:55 
LiveInNow, 好想贏中國,科興, 114.25.159.200 09/26 11:55 
kinve1014, 高端可以去印尼啊 嘻嘻 誰稀罕去美國,科興, 114.42.206.234 09/26 11:55 
firose, 白痴才打中國疫苗,科興,   125.228.58.7 09/26 11:55 
firemothra, 美國根本被支那入侵了USA改成CSA好了，可憐,科興,    114.40.58.2 09/26 11:56 
gankgf, 拜登yo失智惹QQ,科興, 111.82.137.155 09/26 11:56 
kiwibee, 人家打過幾億劑,科興,   27.247.7.185 09/26 11:56 
firemothra, 失智美國CDC,科興,    114.40.58.2 09/26 11:56 
zong780405, 綠共美國是中國同路人,科興, 223.137.96.122 09/26 11:56 
wamng, 美國要被綠畜出征惹,科興,103.127.241.129 09/26 11:56 
