id,contents,key word,date
hy543, 爪爪,聯亞,   1.200.21.126 09/20 14:52 
s820912gmail, 兄弟象？,聯亞,  101.10.14.210 09/20 14:52 
AustinRivers, 無感  歐美穩穩的不買嗎,聯亞, 110.26.102.200 09/20 14:53 
alex00089, 改叫夏亞啊,聯亞,    42.75.38.94 09/20 14:53 
headcase, 不是黨親生的,聯亞,   39.12.70.222 09/20 14:54 
kumori, 聯亞就被打成9.2 4%支持的啊 我都不知道,聯亞, 123.194.15.245 09/20 14:55 
bill403777, 誰,聯亞,   42.72.111.60 09/20 14:55 
kumori, 為什麼,聯亞, 123.194.15.245 09/20 14:55 
fireda, EUA都拿不到還能幹嘛留在這裡惹人嫌嗎,聯亞,125.227.174.151 09/20 14:56 
hn15835163, 聯亞怎麼比得上高端,聯亞, 125.230.50.173 09/20 14:58 
okichan, 爪爪：嗆屁嗆,聯亞, 111.250.44.204 09/20 14:59 
bigcho, 台灣價值的差異,聯亞, 218.166.22.143 09/20 14:59 
JingPingKing, 那個已經沒用了,聯亞,   111.83.229.8 09/20 15:01 
swearflycc, 數據就是比高端差  能怎麼辦?,聯亞,  223.138.57.68 09/20 15:02 
hydralee, 聯亞打三劑超強好唄,聯亞, 223.137.10.194 09/20 15:07 
feichai5566, 超可憐沒人關注沒人輔導,聯亞,  223.136.126.7 09/20 15:36 
seanidiot, 第三劑也就那50人的資料，是一開始安排的實驗還是後面推上線的實驗？,聯亞,   42.77.78.214 09/20 17:01 
poolknight, 科興啦,聯亞, 223.137.204.75 09/16 12:22 
coollfd, 先通過黨的EUA再說啦 嘻嘻,聯亞, 223.136.96.139 09/16 12:22 
sky568127,  https//i.imgur.com/gnaODsr.jpg,聯亞,  42.72.157.144 09/16 12:22 
poolknight, 實質統一,聯亞, 223.137.204.75 09/16 12:22 
jma306,  政府不圖利聯亞  沒搞頭  只能自己慢慢來,聯亞,   114.26.81.15 09/16 12:22 
poolknight, 我大張主席統一中國,聯亞, 223.137.204.75 09/16 12:23 
flyinmagic, 當然是哥倆好高端,聯亞,  1.163.180.187 09/16 12:23 
guhong, 政府對聯雅很嚴格啦 成為高端的競爭者怎辦,聯亞,   1.200.47.239 09/16 12:23 
michaelwu, 跟高端吧,聯亞,  1.164.221.203 09/16 12:24 
whitenoise, 聯亞黑掉了好嗎,聯亞,223.139.172.101 09/16 12:26 
mask99, 高端,聯亞,  49.216.45.135 09/16 12:48 
SRadiant, 標準一樣，是聯亞數據太爛好嗎？,聯亞, 223.137.191.26 09/16 12:59 
odem, 明明就eua標準 只為高端過關,聯亞,  118.167.225.3 09/16 13:09 
aure0914, 可憐吶，聯亞被黑箱做掉了,聯亞,   49.216.49.71 09/16 11:17 
firemothra, 這問題不太健康,聯亞,  114.40.61.132 09/16 11:18 
cytotoxic, 分不到羹翻臉了,聯亞, 60.248.106.181 09/16 11:18 
Submicromete, 聯亞還沒學乖？,聯亞,   42.77.20.217 09/16 11:18 
aure0914, 政府就是要炒高端,聯亞,   49.216.49.71 09/16 11:18 
kcclasaki, 不是不公怖 是還沒公佈,聯亞,  118.171.17.87 09/16 11:18 
SSCSFE, 下禮拜五再問,聯亞, 169.232.190.40 09/16 11:18 
CMPunk, 好了啦 聯亞乖乖做三期,聯亞,   110.28.6.218 09/16 11:18 
oyaji5566, 粗暴言論duck不必,聯亞, 223.137.29.126 09/16 11:19 
superya, 綠共護航,聯亞,    101.10.1.64 09/16 11:19 
LimYoHwan, 多送點股票給萊英文不會？,聯亞,   42.72.208.69 09/16 11:19 
lolic, 可憐哪 還爭,聯亞,   111.71.124.8 09/16 11:19 
bruce511239, 不是每個醫師都懂免疫橋接,聯亞,   1.200.142.24 09/16 11:19 
moccabranco, 蓋牌組織第一天認識？,聯亞,   111.82.50.99 09/16 11:19 
newsun1997, XDDDD,聯亞, 123.192.107.19 09/16 11:19 
maximu, 可憐哪,聯亞,223.139.200.242 09/16 11:20 
ef863756, 粗暴的言論 大可不必,聯亞, 118.163.49.180 09/16 11:20 
coollfd, 都繼續蓋牌繼續爽 掀牌的都是9.2,聯亞, 223.136.96.139 09/16 11:20 
milk250, 高端像後母的親生兒子  聯亞是前妻的拖油,聯亞, 61.231.109.137 09/16 11:20 
obdv, 好少,聯亞,  115.167.46.34 09/16 11:20 
milk250, 瓶,聯亞, 61.231.109.137 09/16 11:20 
JackaLMeI, the 蓋,聯亞,  223.140.84.27 09/16 11:20 
Laucus, 公布數據大可不必,聯亞,   59.115.70.19 09/16 11:20 
ChungLi5566, 跟國光一起去旁邊玩沙,聯亞, 223.137.49.202 09/16 11:20 
bluedon, 粗暴的言論 Duck 不必,聯亞,  211.72.111.32 09/16 11:20 
hamasakiayu, 趕快輸誠看看有沒有機會啦,聯亞,  114.24.86.191 09/16 11:20 
zakijudelo, 顏色錯誤，塔綠班不會給你賺啦，圖利國產只限高端喔～嘻嘻,聯亞,  101.12.33.163 09/16 11:20 
kenjustice, 這問題很不健康啦齁,聯亞,220.128.103.183 09/16 11:20 
bmchaos, 你完蛋了透尼,聯亞,  27.52.198.194 09/16 11:20 
fulongb210f, 居心叵測的問題，麻煩節制,聯亞, 101.137.145.94 09/16 11:21 
milk250, 我來教聯亞  知道什麼內幕就全部爆出來,聯亞, 61.231.109.137 09/16 11:21 
Tjpmars, 就50個人追加第三劑就想再次申請EUA?,聯亞,122.117.100.230 09/16 11:21 
milk250, 疫苗過不了至少把政府轟爛  歷史會有一席地位的,聯亞, 61.231.109.137 09/16 11:21 
lesnaree2, 沒拿錢來 我怎麼幫你,聯亞, 223.140.178.47 09/16 11:21 
ddijk, 粗暴的懷疑 Duck不必,聯亞,  1.173.170.245 09/16 11:21 
Tjpmars, 是沒看高端現在才多少人打?你們還被楊志,聯亞,122.117.100.230 09/16 11:21 
Yuwuen, 連雅的政治力不足,聯亞,  36.234.193.64 09/16 11:21 
Tjpmars, 公開說打了沒效...,聯亞,122.117.100.230 09/16 11:21 
babyMclaren, 居心叵測,聯亞,122.116.167.141 09/16 11:22 
BaRanKa, 燻雞剖廁啦,聯亞, 210.242.38.140 09/16 11:22 
matt40413, 怎麼不早說,聯亞,  27.247.37.121 09/16 11:22 
azeroth, 聯亞不乖難怪不給過= =,聯亞, 220.143.203.61 09/16 11:22 
wicer, 內鬨? 期待爆料,聯亞, 115.217.18.189 09/16 11:22 
wonder007, CDC直接跟黑水國際槓上惹,聯亞,   203.66.246.4 09/16 11:22 
phina005, 聯亞造反了嗎,聯亞,223.139.166.154 09/16 11:23 
