id,contents,key word
hikaru77613, 沒差啦，都打3劑再來愛台灣啦，死了是不能愛台灣的,BioNTech
SLS530, 這公告就證實BNT沒辦法和中華民國交易只能民間對民間,BioNTech
MoDerF, Region ジ,BioNTech
amazgo, 817各種崩潰XDD,BioNTech
gekkou, 蟑螂有骨氣一點 發起拒打BNT啊,BioNTech
mardrea, 臺灣地區......,BioNTech
gtcb, 徐世榮表示,BioNTech
pinhanpaul, 那些說中國加料的側翼可以去死了,BioNTech
s655131, 中共同路人 沒有台灣價值,BioNTech
TaiwanUp, 如果不是中國惡意代理 早就到貨這批產地直送 要注意有無中國特務,BioNTech
asgardgogo, 上海復興？817綠共要心臟病發了,BioNTech
TaiwanUp, 避免被加料,BioNTech
cosmite, 如果還有人再提繞過上海就是智障,BioNTech
SamsungNote9, 中國復星在2020年3月就跟BNT布局了那時候的CDC在幹嗎？,BioNTech
CityRanger, 真的是硬要ㄝ,BioNTech
TaiwanUp, 不會心臟病發阿 哪會 是美德疫苗直送,BioNTech
vwpassat, 舔支德仔的話能信？,BioNTech
polestar0505, 人家花大錢買代理權 反觀,BioNTech
vaiking0120, 台灣政府2020三月在幹嘛 還好意思講超前部署,BioNTech
TaiwanUp, 上海復星代理來也不知道幹嘛用這才好笑,BioNTech
laroserose, 噁，有夠虛假,BioNTech
vaca01, 一堆蟑螂這麼晚還在上班,BioNTech
TaiwanUp, 中國整天戰狼外交 結果代理美德疫苗,BioNTech
talrasha, 網紅牙醫：...........,BioNTech
sawadiga, 子公司差別在哪裡,BioNTech
vaca01, 中共擋是不會買莫德納喔 自己有問題 工三,BioNTech
cute2611, 本來我們就是要英文原包裝的BNT,BioNTech
vaca01, 洨,BioNTech
TaiwanUp, 理論上中國應賠償全世界防疫費用,BioNTech
h007enry, 終於超前部署了 結果是民間,BioNTech
vaca01, 台灣自己造成的人禍 要不要賠給人民,BioNTech
johnhmj,                  台德友好簡直是個笑話,BioNTech
TaiwanUp, 要多買莫德納次世代疫苗了,BioNTech
polestar0505, 民進黨快要求中國賠償 不賠斷晶片啊 笑你他媽不敢啦操俗辣,BioNTech
TaiwanUp, 哪裡人禍?,BioNTech
talrasha, 他說「上海復興來的我也不敢打….中國人最常見就是不老實，這一批進來，到底,BioNTech
laihom0808, 最後還不是沒跳過代理商,BioNTech
talrasha, 是真的疫苗、假的疫苗？是效期內還是過期，是不是真正輝瑞的疫苗？」,BioNTech
TaiwanUp, 產地直送的確就比較安全 謝謝BNT,BioNTech
vaca01, 民進黨也真夠蠢 還帶企業買BNT 不怕第二劑被斷就是了,BioNTech
talrasha, 反正有人在FB洗腦洗認知  好可怕,BioNTech
TaiwanUp, 中國真的不要再阻撓就好,BioNTech
kps1247, 某教授表示 那是中國製,BioNTech
vaca01, 怕中國阻擾 幹嘛不換莫德納？自己有問題,BioNTech
TaiwanUp, 台德友好 齊心對抗病毒 世界加油！要多買莫德納次世代了 你去做功課,BioNTech
gibbs1286, 德國政府：別再說我屈服於中國壓力,BioNTech
