id,contents,key word,date
cs09312, 我們高端也能去印尼阿 嘻嘻,國藥,  27.52.225.225 09/26 11:54 
snow3804, 世界怎麼跟得上台灣,國藥,  1.164.181.127 09/26 11:54 
lee0820, 高端呢,國藥,   42.77.161.93 09/26 11:54 
matico, 又如何？世界不是只有美國！！！,國藥,   140.113.3.12 09/26 11:54 
Ceferino, 美國中共同路人認證,國藥,123.192.235.113 09/26 11:54 
Linlosehow, 美國是中共同路人？,國藥,  61.230.57.184 09/26 11:55 
DevilHotel, 我們高端能去印尼！囂張什麼 ),國藥,223.139.117.188 09/26 11:55 
CMPunk, 明明人家是who認證的都可以 三立標題硬要,國藥,    39.9.47.181 09/26 11:55 
firemothra, 世界又不是只有美國,國藥,    114.40.58.2 09/26 11:55 
CMPunk, 只講中國疫苗,國藥,    39.9.47.181 09/26 11:55 
gy206578, 世界又不只美國 只是統治者把美國當主人,國藥,  1.200.161.247 09/26 11:55 
cream115, 才九月就在帶風向,國藥,   42.72.180.27 09/26 11:55 
Hebemp831, 我們的高端勒,國藥,  111.82.65.171 09/26 11:55 
adk147852, 世界不是只有美國,國藥,  1.172.113.132 09/26 11:55 
LiveInNow, 好想贏中國,國藥, 114.25.159.200 09/26 11:55 
kinve1014, 高端可以去印尼啊 嘻嘻 誰稀罕去美國,國藥, 114.42.206.234 09/26 11:55 
firose, 白痴才打中國疫苗,國藥,   125.228.58.7 09/26 11:55 
firemothra, 美國根本被支那入侵了USA改成CSA好了，可憐,國藥,    114.40.58.2 09/26 11:56 
gankgf, 拜登yo失智惹QQ,國藥, 111.82.137.155 09/26 11:56 
kiwibee, 人家打過幾億劑,國藥,   27.247.7.185 09/26 11:56 
firemothra, 失智美國CDC,國藥,    114.40.58.2 09/26 11:56 
zong780405, 綠共美國是中國同路人,國藥, 223.137.96.122 09/26 11:56 
wamng, 美國要被綠畜出征惹,國藥,103.127.241.129 09/26 11:56 
gremon131, 反,國藥, 114.39.224.229 09/26 11:56 
snow3804, 你可以去印尼留學阿,國藥,  1.164.181.127 09/26 11:56 
firemothra, 美國要跟支那一起崩潰了,國藥,    114.40.58.2 09/26 11:57 
evan000000, 高端可以嗎,國藥, 118.169.44.231 09/26 11:57 
snow3804, 你可以到印尼經商蔡英文也可以到印尼拚外交,國藥,  1.164.181.127 09/26 11:57 
qqq87112, 世界不之有美國 可以去印尼,國藥, 125.230.89.237 09/26 11:57 
