id,contents,key word,date
RRADA, 5F還可以追加一劑HPV,嬌生, 111.249.193.73 09/22 17:28 
preisner, 要去打就快,嬌生,   203.67.6.202 09/22 17:28 
axzs1111, 要打就打最頂的高端 才是正港台灣人,嬌生, 223.140.58.153 09/22 17:29 
chen891276, 你國部長讓你打嬌生嗎,嬌生,114.137.123.244 09/22 17:29 
vowpool, 靠嬌生carry是嗎,嬌生,  125.227.40.62 09/22 17:29 
tyantmf, 當然追加高端 五劑,嬌生, 60.248.245.182 09/22 17:29 
u9005205, 很以色列…,嬌生, 114.136.185.33 09/22 17:30 
aikensh, 一劑高端 終身高端,嬌生,    39.9.235.31 09/22 17:30 
sagarain, 去歐洲可能還要補,嬌生,  36.225.242.17 09/22 17:30 
shy2260, 建議再追加高端,嬌生, 114.45.145.172 09/22 17:31 
yzelly, 沒有台灣價值的疫苗，沒有打的必要,嬌生, 125.230.73.198 09/22 17:31 
cerpherus, 高端可能要打四劑,嬌生,     27.52.39.3 09/22 17:31 
Winston13840, = 打嬌生，但挨了三針 真香,嬌生,   101.12.89.88 09/22 17:34 
sunnyyoung, 去哪生嬌生,嬌生,   49.216.58.55 09/22 17:35 
rusa, 好 你生出來,嬌生,122.116.239.198 09/22 17:37 
aix315, 很可以，但是公務員一樣買不到,嬌生,  42.72.175.253 09/22 17:38 
Nonegrame, 一劑高端 終身高端,嬌生, 118.163.84.203 09/22 17:38 
pkpk23456, 你要先確定混打不會出人命吧！除非你想死在美國境外,嬌生,  111.71.214.80 09/22 17:43 
ultraccs, 終身高端了 哪來嬌生,嬌生,112.105.115.236 09/22 18:08 
qaz90427, 我同事 科興X2  BNTX2 高端X2 一共六針,嬌生,  110.87.164.11 09/22 18:08 
ultraccs, 政府的混打 都沒想過第一劑高端之後的混打,嬌生,112.105.115.236 09/22 18:09 
DustToDust, 喇叭中又不會買,嬌生,  61.224.28.226 09/21 22:25 
james732, 因該跟一劑高端差不多ㄅ,嬌生,  223.137.0.137 09/21 22:25 
neos042, 高端比較強,嬌生,  49.217.56.248 09/21 22:26 
john7643, 黨會說2000萬劑夠了,嬌生,  36.238.211.11 09/21 22:26 
setsunabs, 至少打9劑才無敵,嬌生,  101.12.55.221 09/21 22:27 
agong, 容量負荷不了就GG,嬌生, 111.71.214.128 09/21 22:28 
n3688, 三倍界王拳,嬌生,  114.47.17.141 09/21 22:29 
SRadiant, 一劑可以擋兩劑？跟科興比嗎？,嬌生, 114.34.103.217 09/21 22:30 
chrisjay, 還是想打蘿莉,嬌生, 111.83.128.116 09/21 22:48 
savishu, bnt4劑等於az兩劑嗎？,嬌生,  27.246.32.195 09/21 23:06 
yannjiunlin, 問題是也會重複感染以及有變異株,嬌生,  1.160.112.230 09/21 22:22 
SRadiant, 因為打過疫苗降低重症，結果反過來說重症減少不需要打疫苗？,嬌生, 114.34.103.217 09/21 22:23 
jameshcm, https//i.imgur.com/w26ofHu.jpg,嬌生, 220.143.72.123 09/21 22:23 
s2678132, 你知道痊癒後會有奇怪的副作用嗎？有人不斷耳鳴因此自殺不補疫苗，你抗體能撐多久？,嬌生, 61.227.186.235 09/21 22:24 
SRadiant, 感冒也很常無症狀喔，因為無症狀所以你,嬌生, 114.34.103.217 09/21 22:24 
Mazeway, 所以中央不喜歡大眾驗抗體啊,嬌生,  101.12.100.37 09/21 22:25 
SRadiant, 甚至沒發現感冒過，成年人平均一年會感,嬌生, 114.34.103.217 09/21 22:25 
qqstory, 打2劑 94% 打10劑會無敵嗎,嬌生,  61.65.118.113 09/21 22:25 
SRadiant, 冒5、6次。COVID19是因為篩檢所以你才有機會發現無症狀感染,嬌生, 114.34.103.217 09/21 22:25 
Mazeway, 疫苗奇怪的副作用比較多吧,嬌生,  101.12.100.37 09/21 22:25 
SRadiant, 目前，免疫低下、高風險族群才需要第三,嬌生, 114.34.103.217 09/21 22:26 
s2678132, 你可以不打阿，看重症厲害還是疫苗副作用厲害,嬌生, 61.227.186.235 09/21 22:26 
SRadiant, 劑，或是未來的定期施打，跟流感疫苗一,嬌生, 114.34.103.217 09/21 22:26 
eno03, 疫苗副作用較快消失 或死而已,嬌生, 114.37.185.200 09/21 22:26 
SRadiant, 樣。未來會不會有新證據，對一般成年人也需要就再看看囉,嬌生, 114.34.103.217 09/21 22:26 
Mazeway, 傻了才打,嬌生,  101.12.100.37 09/21 22:26 
geesegeese, 還在感冒？有種去醫院幫忙全民戴口罩換來的安全，鬆懈了？以色列就是不信邪的榜樣沒戴口罩的垃圾離台灣遠一點,嬌生, 101.136.195.83 09/21 22:28 
SRadiant," 疫苗除了TTS會由腺病毒載體誘發外，其他特殊副作用都是""病毒感染""時引起的，還較輕微，如血栓、心肌炎、罕見神經系統疾病像是感染時血栓的風險(發生率)是AZ的10倍左右",嬌生, 114.34.103.217 09/21 22:29 
zixiang, 戴口罩要不要寫進憲法 不然怎麼叫人家垃圾呢 政府的功能明明是在保障每個人有平等的權利 正確來說 就是提供足夠的資源剩下就應該讓人民自己選擇以色列明明人家很正向 新加坡也是但是就是被人家用確診數來當成負面教材,嬌生, 118.169.224.33 09/21 22:32 
AustinRivers, 我怕後遺症=.=,嬌生, 110.26.102.200 09/21 22:33 
kevin1221, 都老人政客先打,嬌生,     1.34.13.91 09/21 22:34 
sd785, 今日無症狀不一定永遠無症狀 趁你病要你命,嬌生,  114.136.196.4 09/21 22:56 
iosian, 果然後遺症是失智,嬌生,   68.49.205.34 09/21 23:40 
pippen2002, 2nd??之前不是只要一劑?,嬌生,   1.34.145.177 09/21 22:05 
DustToDust, 台灣沒買阿,嬌生,  61.224.28.226 09/21 22:06 
pinkowa, 終於等到了 嬌生打兩劑 + AZ 打兩劑,嬌生,  36.226.11.201 09/21 22:06 
snsdakb48, 又不賣是在哭喔,嬌生,  220.136.32.41 09/21 22:06 
leaderweb, 現在疫苗研究都可以亂來的是不是,嬌生,   114.136.5.70 09/21 22:06 
okichan, 做爽身粉的那麼厲害,嬌生,  49.216.44.108 09/21 22:06 
ApAzusa126, 笑死，所以你還是要打兩劑啊,嬌生,  114.24.64.100 09/21 22:06 
makimakimaki, 你們嬌生集團何不嘗試第二劑打高端,嬌生,   1.165.86.233 09/21 22:06 
BLABLA007, 設計打一劑的疫苗 打第二季產生的額外,嬌生,118.161.236.167 09/21 22:06 
huei252, 台灣沒有 不用煩惱,嬌生,  223.141.85.88 09/21 22:06 
jma306, 佛光山表示  可惜與台灣無緣,嬌生, 111.252.147.62 09/21 22:06 
kidd085, 嫩 高端96,嬌生, 111.83.146.152 09/21 22:07 
hcwang1126, 其實換算大概人家四劑,嬌生,  1.164.142.169 09/21 22:07 
BLABLA007, 風險 你確定要承擔?,嬌生,118.161.236.167 09/21 22:07 
wake7078, 不是一劑抗百毒？ 第二劑是你嬌生慣養？,嬌生, 123.194.179.82 09/21 22:07 
pinkowa, snsdakb48 是台灣沒有給EUA 你別亂講,嬌生,  36.226.11.201 09/21 22:07 
kenny40089, 無聊  我們高端可是想打就能打,嬌生, 180.217.196.64 09/21 22:07 
fireda," ""出現中度至重度病情具有94%的保護效果""",嬌生,  36.227.32.127 09/21 22:07 
apple123773, 你上次不是說二劑效果差 打一劑就夠?,嬌生,   61.224.73.71 09/21 22:07 
pinkowa, 嬌生有說願意賣台灣政府 但政府想不想?,嬌生,  36.226.11.201 09/21 22:07 
lastphil, 美國人都不愛的爛疫苗 還好台灣有高端,嬌生,  114.34.15.151 09/21 22:08 
fireda, 三小 所以還是會確診嗎,嬌生,  36.227.32.127 09/21 22:08 
nowitzki0207, 本來就該兩劑吧,嬌生,  61.231.28.162 09/21 22:08 
flavorBZ, 怎麼大家都6％那個沒效的？啊～幸存者偏差,嬌生,180.217.113.135 09/21 22:08 
clydebbman, 塔綠斑  輸高端拉 要講幾次,嬌生, 114.26.144.216 09/21 22:08 
DogBe105, 進來也是狗官先打拉,嬌生, 118.168.83.139 09/21 22:08 
AustinRivers, 羨慕,嬌生, 110.26.102.200 09/21 22:08 
devilkool, 不如打高端,嬌生, 61.228.147.231 09/21 22:08 
jma306,  https//i.imgur.com/yJp9hA5.jpg,嬌生, 111.252.147.62 09/21 22:09 
maxinehou, 台灣不買嗎？,嬌生, 36.225.187.123 09/21 22:09 
tbrs, 佛光山,嬌生,   1.200.41.156 09/21 22:09 
wario2014, 結論就是之前都在鬼扯，不是主打一劑特,嬌生,118.161.174.104 09/21 22:10 
sagarain, ？,嬌生,    1.169.29.47 09/21 22:10 
iwinlottery, 當初為什麼不設計成兩劑,嬌生,  27.247.96.173 09/21 22:10 
wario2014, 色嗎，再加油個幾年吧，把真正有效的疫苗作出來吧,嬌生,118.161.174.104 09/21 22:10 
fireda, 因為實驗都是打一劑吧 沒想到別人都打兩劑,嬌生,  36.227.32.127 09/21 22:11 
tasiki2002, 台灣又沒買，講這些都多的,嬌生,   112.78.76.85 09/21 22:11 
pinhanpaul, 那不就是又打一次嗎,嬌生,  223.140.4.226 09/21 22:11 
fireda, 所以趕快再做兩劑的實驗就慢了,嬌生,  36.227.32.127 09/21 22:11 
Alieno, 現在哪有真正有效的疫苗 至少有保護力 哪像台灣的符水喝了保平安,嬌生, 114.24.247.205 09/21 22:12 
rhox, 高端更強，但強多少不好說,嬌生, 114.45.213.224 09/21 22:12 
cruisertakao, 如果只有嬌生洗髮精有用嗎,嬌生,  1.161.248.150 09/21 22:12 
diofly, 一劑的數據超爛 所以才再打第二劑,嬌生, 36.227.124.253 09/21 22:12 
BLABLA007, 全世界都開始努力研發次世代疫苗,嬌生,118.161.236.167 09/21 22:13 
Mazeway, 洪堂大笑,嬌生,  101.12.100.37 09/21 22:13 
BLABLA007, 早說過主戰場就是次世代疫苗 先買先贏,嬌生,118.161.236.167 09/21 22:13 
agong, 四趴仔的鬼島藥證=符仔水 7000億是看心安的,嬌生, 111.71.214.128 09/21 22:13 
Mazeway, 哄,嬌生,  101.12.100.37 09/21 22:13 
menshuei, https//i.imgur.com/AGrrheC.jpg,嬌生,111.242.134.193 09/21 22:14 
john7643, 黨有說可以進？,嬌生,  36.238.211.11 09/21 22:14 
wz70403, 台灣政府繼續無視,嬌生,   42.73.10.199 09/21 22:15 
