id,contents,key word
kerkercheng, .....,阿斯特捷利康
Gandalf, 會讓你一直高潮,阿斯特捷利康
highyes, 你他媽的沒有女友 不要幻想,阿斯特捷利康
milk250, 很會做飯做家務的普妹,阿斯特捷利康
wang1b, ………你給我阿肥文靈感了,阿斯特捷利康
laigeorge89, 戴假屌把屁眼肛個花開富貴的女友,阿斯特捷利康
Hohenzollern, 任勞任怨的糟糠之妻,阿斯特捷利康
immercury, mRNA第二劑，副作用更大吧,阿斯特捷利康
NapoleonBona, 英瑞混血的洋妞,阿斯特捷利康
sergio, 躺著等她開火車輾過，來回兩次,阿斯特捷利康
LoveMakeLove, 英國足球流氓,阿斯特捷利康
NowLoading, 脾氣不好但盡責實在的普妹,阿斯特捷利康
ipmen, 對處男肥宅充滿大愛，願意被白嫖的那種,阿斯特捷利康
mikiworldpea, 脾氣很差的正妹,阿斯特捷利康
seminal, 傲嬌,阿斯特捷利康
MasterHsieh, 個性差普妹但至少上的到,阿斯特捷利康
Tenging, 英國眼睛妹眼鏡娘,阿斯特捷利康
ab304044, 我的超人女友的G girl,阿斯特捷利康
bullace, 讓人想外遇的女孩,阿斯特捷利康
wshevssam, 一架遺失可是很病嬌的老婆,阿斯特捷利康
pubao, 趁你睡覺時瘋狂幹你 等你有精神又變回死魚,阿斯特捷利康
DoraGian, 畫個VT取名叫阿斯特傑利康不知道會不會被告,阿斯特捷利康
SCRATCHER, 只對年輕人熱情,阿斯特捷利康
RanceTsai, 脾氣不好但還會處理好所有事的好女人,阿斯特捷利康
k092236, 普妹個性差,阿斯特捷利康
monononoke, 家世清白不做作勤儉持家的好女孩但是有罕見機率心情不好會捅死你,阿斯特捷利康
Misscat16868, 阿斯特捷利康是俄羅斯女孩還是日本女孩？,阿斯特捷利康
thatear, 會有某群人一邊罵她破麻一邊偷追她這群人電視上嗆得跟垃圾一樣 私下又偷偷約 而且還是靠走後門才能約,阿斯特捷利康
TPDC, 當然是吃喜歡的食物,阿斯特捷利康
alamabarry, 去反省一下~~有最好的高端不打,阿斯特捷利康
VaLenTi1007, 瘋狂做菜   12小時妳就知道了,阿斯特捷利康
HarukaLoveu, 吃止痛藥,阿斯特捷利康
IS5F5566, 推文沒尻尻我尻給你看,阿斯特捷利康
s820912gmail, 吃到飽,阿斯特捷利康
spot482, 肚子像破洞一樣吃不飽,阿斯特捷利康
athome1, 先說沒微醺感 嗅覺也不會變敏銳,阿斯特捷利康
wang111283, rip,阿斯特捷利康
wawaking1, 寫遺囑,阿斯特捷利康
Benetnasch, 可是才第一劑,阿斯特捷利康
joshuapan, 等12小時準備頭痛、肌肉痛、發燒，準備,阿斯特捷利康
BikiniBottom, 瘋狂連結,阿斯特捷利康
joshuapan, 好止痛藥吧！,阿斯特捷利康
IRPT001, 衝進北部某高職打球,阿斯特捷利康
js52666, 瘋狂尻槍,阿斯特捷利康
ChienFong, 剛過25小時 一個建議：別高興的太早,阿斯特捷利康
elcnick, 塔位或者cosplay 因為紅眼不用戴隱眼,阿斯特捷利康
LoveMakeLove, https//i.imgur.com/tTBCrBC.jpg普拿疼,阿斯特捷利康
Mazeway, 還是會確診,阿斯特捷利康
TZUYIC, 先寫遺書,阿斯特捷利康
yayaya9487, 參加馬拉松,阿斯特捷利康
atobela, 就好吃好睡好健康啊,阿斯特捷利康
TZUYIC, D槽設個保全，太久沒登入會自己銷毀。,阿斯特捷利康
GARRETH, 8~12小時候你體內免疫系統就要實彈演習了,阿斯特捷利康
BearAndrew, 我剛買了牛排套餐 然後開冷氣 躺在床,阿斯特捷利康
GARRETH,  現在正在移防集結中,阿斯特捷利康
BearAndrew, 上耍廢,阿斯特捷利康
netio, 買保險,阿斯特捷利康
february2, 準備藍色包裝普拿疼，相同學名藥也可以,阿斯特捷利康
NTJL, 雞排攤點個500元慶祝一下,阿斯特捷利康
yuta02, 免疫細胞：真是沒事找事的主人,阿斯特捷利康
KCKCLIN, 打報懶覺辣 比我先打的都打報懶覺藍色包裝普拿疼是啥亨 希望你拉肚子拉到我打的那天,阿斯特捷利康
b2305911, 先尻 免得隔天手像被車撞,阿斯特捷利康
KCKCLIN, 比我先打的都要拉肚子,阿斯特捷利康
NTJL, 找有乙醯胺酚(Acetaminophen) 的止痛藥,阿斯特捷利康
hancao0816, rip,阿斯特捷利康
loveponpon, 維他命c備妥 水慢慢喝個2500cc 好好睡,阿斯特捷利康
nancyh, 多喝水,阿斯特捷利康
castjane, 只有6個月,阿斯特捷利康
hato, 喝冷飲，睡覺,阿斯特捷利康
NTJL, 不確定的就問藥局 反正水多喝就對了,阿斯特捷利康
jackie1115, 多喝水多休息啊，不然你還想幹嘛,阿斯特捷利康
nancyh, 運動飲料、普拿疼也備著 水+運動飲料對我之前打疫苗後降溫有很大幫助 因後來沒升溫到發燒 普拿疼倒是沒用到,阿斯特捷利康
melic, 票投DPP,阿斯特捷利康
musicfire, 一劑作用不大建議補一劑免登記的高端，獻出你的手臂成為高端的一份子吧,阿斯特捷利康
ChienFong, 時間一到 症狀就出現 還莫名準時的,阿斯特捷利康
Vedan, 幹樹洞,阿斯特捷利康
yungo, 今晚不要吃鹹酥雞,阿斯特捷利康
KCKCLIN, 為什麼不能吃,阿斯特捷利康
hbk4ever, 不戴口罩外出裸奔 選我正解,阿斯特捷利康
joanne0532, 晚上會瘋掉，超痛苦,阿斯特捷利康
hong414, 遺書寫好,阿斯特捷利康
ziso, 我也吃藍色包的普拿疼  不是說太強效會影響疫苗的效果嗎,阿斯特捷利康
mchotdoggy, 當然是在線等莫德納https//i.imgur.com/9yBQPSa.jpg,阿斯特捷利康
henry761128, 準備普拿疼 長袖衣物 和厚棉被,阿斯特捷利康
kktt254, 原來現在打完一劑AZ就可以有優越感了 看了真可憐XD,阿斯特捷利康
Szss, 等半夜被衝撞,阿斯特捷利康
fcuspy, 阿茲特克揪團中,阿斯特捷利康
sunnyyoung, 換打新阿姆斯特朗炫風噴射阿姆斯特朗砲,阿斯特捷利康
zakijudelo, 等著半夜刺激的襲來，嘻嘻,阿斯特捷利康
EulerFormula, 退熱貼也可以準備 蠻舒服der,阿斯特捷利康
haixing, 29h了目前全身稍微酸痛，體溫慢慢有點升高，現在在泡維他命c發泡錠喝..,阿斯特捷利康
kplpop, 先躺好 然後就…,阿斯特捷利康
ILDUCK, 把床佈置得舒服一點，躺好，準備哀嚎,阿斯特捷利康
tt7642, 先跟家人說後事怎麼辦,阿斯特捷利康
pp761211, 做好準備 晚上最精彩,阿斯特捷利康
bon362, 滾！這裡只歡迎高端戰士,阿斯特捷利康
glasur, 吃止痛藥,阿斯特捷利康
kinoko1224, 28天內都別太開心！,阿斯特捷利康
greensdream, 趁早差點好吃的吧，把握時間,阿斯特捷利康
xhoho1990, 九天應元雷聲普化天尊預備,阿斯特捷利康
Qlypig, 等著渡劫,阿斯特捷利康
chris133, 昨天打 已經躺一整晚了,阿斯特捷利康
